datesold,price,suburb,postcode,lat,lon,parking,bathrooms,bedrooms,propertyType,suburbid
9/06/2000,223000,Nicholls,2913,NULL,NULL,2,2,4,house,ACT708
1/01/2001,350000,Ngunnawal,2913,NULL,NULL,1,NULL,3,house,ACT706
11/12/2003,550000,Weston,2611,NULL,NULL,2,NULL,4,house,ACT441
21/09/2005,276000,Isabella Plains,2905,NULL,NULL,1,1,3,house,ACT612
1/11/2005,400000,Conder,2906,NULL,NULL,2,NULL,5,house,ACT613
22/11/2005,350000,Theodore,2905,NULL,NULL,2,2,3,house,ACT610
8/12/2005,447500,Conder,2906,NULL,NULL,2,NULL,5,house,ACT613
14/12/2005,355000,Conder,2906,NULL,NULL,2,NULL,4,house,ACT613
22/12/2005,350000,Conder,2906,NULL,NULL,1,NULL,4,house,ACT613
9/01/2006,435000,Banks,2906,NULL,NULL,2,NULL,4,house,ACT614
17/01/2006,270000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
7/02/2006,272500,Chisholm,2905,NULL,NULL,1,1,3,house,ACT609
17/02/2006,280500,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
20/02/2006,385000,Banks,2906,NULL,NULL,2,NULL,4,house,ACT614
24/02/2006,310000,Waramanga,2611,NULL,NULL,2,NULL,3,house,ACT442
1/03/2006,255000,Conder,2906,NULL,NULL,0,2,3,house,ACT613
31/03/2006,250000,Theodore,2905,NULL,NULL,1,1,3,house,ACT610
2/05/2006,250000,Conder,2906,NULL,NULL,1,2,3,house,ACT613
2/05/2006,420000,Conder,2906,NULL,NULL,2,2,4,house,ACT613
23/05/2006,250000,Isabella Plains,2905,NULL,NULL,1,1,3,house,ACT612
13/06/2006,270000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
29/06/2006,308000,Banks,2906,NULL,NULL,2,NULL,3,house,ACT614
18/07/2006,350000,Conder,2906,NULL,NULL,1,2,3,house,ACT613
20/07/2006,425000,Wanniassa,2903,NULL,NULL,2,NULL,5,house,ACT602
4/08/2006,319000,Gilmore,2905,NULL,NULL,1,1,3,house,ACT608
17/08/2006,292500,Banks,2906,NULL,NULL,2,2,3,house,ACT614
30/08/2006,450000,Conder,2906,NULL,NULL,2,1,5,house,ACT613
8/09/2006,275000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
11/09/2006,250000,Isabella Plains,2905,NULL,NULL,1,1,3,house,ACT612
29/09/2006,270000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
29/09/2006,545000,Banks,2906,NULL,NULL,2,2,4,house,ACT614
10/10/2006,250000,Gowrie,2904,NULL,NULL,1,1,2,house,ACT604
23/10/2006,250000,Isabella Plains,2905,NULL,NULL,1,1,3,house,ACT612
27/10/2006,250000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
4/11/2006,250000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
16/11/2006,345000,Chisholm,2905,NULL,NULL,2,2,3,house,ACT609
24/11/2006,320000,Conder,2906,NULL,NULL,1,1,3,house,ACT613
1/12/2006,350000,Gordon,2906,-35.463834,149.085331,1,2,3,house,ACT616
6/12/2006,245000,Bonython,2905,NULL,NULL,1,NULL,2,house,ACT619
19/12/2006,274000,Isabella Plains,2905,NULL,NULL,1,1,3,house,ACT612
22/12/2006,367000,Bonython,2905,NULL,NULL,0,1,4,house,ACT619
23/12/2006,250000,Banks,2906,NULL,NULL,2,1,3,house,ACT614
21/01/2007,450000,Conder,2906,-35.465751,149.11136,2,2,3,house,ACT613
7/02/2007,525000,Pearce,2607,NULL,NULL,2,NULL,4,house,ACT331
16/02/2007,250000,Isabella Plains,2905,-35.425169,149.099422,1,1,3,house,ACT612
22/02/2007,350000,Gordon,2906,-35.464457,149.084241,1,2,3,house,ACT616
27/02/2007,290000,Conder,2906,-35.46227,149.109476,1,1,3,house,ACT613
7/03/2007,328000,Isabella Plains,2905,-35.425882,149.086554,2,1,3,house,ACT612
9/03/2007,380000,Theodore,2905,NULL,NULL,2,2,4,house,ACT610
21/03/2007,310000,Banks,2906,NULL,NULL,2,1,3,house,ACT614
4/04/2007,465000,Calwell,2905,NULL,NULL,2,2,4,house,ACT611
24/04/2007,399000,Mawson,2607,NULL,NULL,1,1,3,house,ACT333
30/04/2007,1530000,O'Malley,2606,NULL,NULL,2,NULL,4,house,ACT335
24/05/2007,359000,Kambah,2902,NULL,NULL,2,NULL,3,house,ACT601
25/05/2007,320000,Banks,2906,NULL,NULL,1,2,3,house,ACT614
30/05/2007,350000,Nicholls,2913,NULL,NULL,2,2,3,house,ACT708
31/05/2007,675000,Calwell,2905,NULL,NULL,2,3,5,house,ACT611
15/06/2007,875000,Yarralumla,2600,NULL,NULL,2,1,3,house,ACT212
16/06/2007,875000,Deakin,2600,NULL,NULL,1,NULL,4,house,ACT215
16/06/2007,350000,Isabella Plains,2905,-35.425882,149.086554,2,2,3,house,ACT612
25/06/2007,550000,Monash,2904,NULL,NULL,2,2,4,house,ACT603
26/06/2007,385000,Kambah,2902,NULL,NULL,2,NULL,3,house,ACT601
27/06/2007,305000,Banks,2906,NULL,NULL,1,1,3,house,ACT614
27/06/2007,615000,Braddon,2612,NULL,NULL,2,2,3,house,ACT106
27/06/2007,850000,Reid,2612,NULL,NULL,1,2,4,house,ACT109
28/06/2007,2000000,Yarralumla,2600,NULL,NULL,2,3,3,house,ACT212
28/06/2007,765000,Fadden,2904,NULL,NULL,2,3,4,house,ACT605
29/06/2007,450000,Wanniassa,2903,NULL,NULL,4,NULL,3,house,ACT602
30/06/2007,50000,Narrabundah,2604,NULL,NULL,1,2,4,house,ACT218
30/06/2007,517000,Fraser,2615,NULL,NULL,2,2,4,house,ACT577
2/07/2007,450000,Weston,2611,NULL,NULL,2,NULL,3,house,ACT441
2/07/2007,800000,Amaroo,2914,NULL,NULL,3,NULL,5,house,ACT707
3/07/2007,336000,Gordon,2906,-35.45508,149.090221,0,1,3,house,ACT616
4/07/2007,675000,Red Hill,2603,NULL,NULL,2,NULL,4,house,ACT221
4/07/2007,595000,Braddon,2612,NULL,NULL,1,2,3,house,ACT106
5/07/2007,50000,Hackett,2602,NULL,NULL,1,1,3,house,ACT126
6/07/2007,350000,Belconnen,2616,NULL,NULL,1,1,2,house,ACT559
6/07/2007,535000,Florey,2615,NULL,NULL,4,NULL,5,house,ACT560
7/07/2007,675000,Narrabundah,2604,-35.33925,149.14565,1,2,3,house,ACT218
7/07/2007,2000000,Pearce,2607,-35.359324,149.077622,2,NULL,5,house,ACT331
7/07/2007,350000,Ngunnawal,2913,NULL,NULL,1,NULL,3,house,ACT706
7/07/2007,900000,Hackett,2602,NULL,NULL,2,2,4,house,ACT126
8/07/2007,327000,Barton,2600,NULL,NULL,0,1,1,house,ACT214
11/07/2007,450000,Bonython,2905,NULL,NULL,2,2,3,house,ACT619
12/07/2007,427500,Downer,2602,NULL,NULL,1,NULL,3,house,ACT124
13/07/2007,675000,Garran,2605,NULL,NULL,0,NULL,5,house,ACT330
13/07/2007,780000,Hackett,2602,-35.24412537,149.1646729,2,2,3,house,ACT126
16/07/2007,550000,City,2601,NULL,NULL,2,NULL,2,house,ACT108
16/07/2007,50000,Narrabundah,2604,-35.33822632,149.1371918,0,2,3,house,ACT218
16/07/2007,720000,Oxley,2903,NULL,NULL,4,4,6,house,ACT623
17/07/2007,2000000,Griffith,2603,NULL,NULL,2,1,4,house,ACT220
18/07/2007,875000,Pearce,2607,-35.36375427,149.0762024,2,NULL,4,house,ACT331
18/07/2007,450000,Waramanga,2611,NULL,NULL,1,NULL,4,house,ACT442
18/07/2007,2000000,Curtin,2605,NULL,NULL,2,NULL,3,house,ACT328
18/07/2007,530000,O'Connor,2602,NULL,NULL,2,NULL,3,house,ACT103
18/07/2007,590000,Ainslie,2602,NULL,NULL,1,NULL,3,house,ACT104
20/07/2007,360000,Scullin,2614,NULL,NULL,1,2,3,house,ACT564
20/07/2007,525000,Curtin,2605,NULL,NULL,3,NULL,3,house,ACT328
20/07/2007,549000,Fadden,2904,NULL,NULL,2,2,4,house,ACT605
21/07/2007,50000,Pearce,2607,-35.36407089,149.0778351,2,NULL,5,house,ACT331
21/07/2007,1780000,Griffith,2603,NULL,NULL,0,2,4,house,ACT220
23/07/2007,335000,Chapman,2611,NULL,NULL,1,NULL,2,house,ACT444
28/07/2007,550000,Weston,2611,-35.3339524,149.0599658,2,NULL,4,house,ACT441
28/07/2007,50000,Lyons,2606,NULL,NULL,3,NULL,4,house,ACT329
30/07/2007,675000,Isaacs,2607,NULL,NULL,2,2,3,house,ACT336
30/07/2007,446000,Weston,2611,-35.33685684,149.0571137,2,NULL,3,house,ACT441
30/07/2007,558000,Farrer,2607,NULL,NULL,2,NULL,4,house,ACT334
